model_name,mse,accuracy,f1_macro,f1_weighted
Human (David),,0.6,0.4683582546783641,0.5907873595698493
Gemini 2.5 Flash,,0.56,0.40939319105898464,0.5407616689230099
xlm-roberta-danish-educational-scorer-zeroshot,0.6408355697938426,0.51,0.37299578059071725,0.5101989150090415
xlm-roberta-danish-educational-scorer-zeroshot-fewshot-250,0.7384649160024813,0.44,0.30435222672064777,0.44300607287449395
xlm-roberta-danish-educational-scorer-zeroshot-fewshot-1000,0.7968878066615332,0.42,0.2921971595655807,0.43045112781954886
xlm-roberta-danish-educational-scorer-zeroshot-fewshot-2500,0.7962716533313777,0.42,0.2921971595655807,0.43045112781954886
xlm-roberta-danish-educational-scorer-full-finetuning,0.7776420605707952,0.41,0.29206931968072075,0.4392007695235315
